nome,telefone,whatsapp,celular,site,endereco,categoria,score,avaliacoes,maps,fotos,nrl,recencia_dias,segmento,query_origem
ATC - Faculdade de Aviação Civil,(11) 3090-5548,551130905548,Nao,https://atcaviacao.com.br/,"R. Salvador Cabral, 345 - Centro, Mogi das Cruzes - SP, 08770-320",educational institution,5,725,https://maps.google.com/?cid=12138356104487507399&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,58,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_curitiba_pr
Flight Class,(51) 99595-2523,5551995952523,Sim,https://curso.flightclass.com.br/,"R. Novo Hamburgo, 106 - Passo d'Areia, Porto Alegre - RS, 90520-160",transportation service,5,186,https://maps.google.com/?cid=7267011308109440160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,5,57,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_porto_alegre_rs
VelAir Escola de Aviação Civil,(31) 97155-7071,5531971557071,Sim,http://www.velair.com.br/,"R. Líder, 43 - Pampulha, Belo Horizonte - MG, 31270-480",transportation service,5,126,https://maps.google.com/?cid=8317555448632971892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,105,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_belo_horizonte_mg
Grandis Soluções - Consultoria Aeronáutica e Cursos para Pilotos e Comissários de voo,(61) 99321-9967,5561993219967,Sim,http://www.grandissolucoes.com.br/,"Setor de Clubes Esportivos Norte - Asa Norte Conjunto 6 - Plano Piloto, Brasília - DF, 70800-112",consultant,5,78,https://maps.google.com/?cid=13052599070656282265&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,114,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_brasilia_df
Sky Escola de Aeronáutica,(62) 99961-4779,5562999614779,Sim,https://skyescoladeaviacao.com.br/,"Aeródromo Nacional de Aviação - GO-070 - St. Novo Planalto, Goiânia - GO, 74480-080",transportation service,5,62,https://maps.google.com/?cid=3253416794602229924&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,294,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_goiania_go
Aerocurso - Escola de Aviação Civil | CIAC 22,(92) 99426-2467,5592994262467,Sim,https://www.aerocurso.com/,"Workspace Salas Comerciais - Av. André Araújo, 2721 - sala 3.1 - Morada do Sol, Manaus - AM, 69060-000",corporate office,5,42,https://maps.google.com/?cid=9281388406281749166&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,5,84,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_manaus_am
EPEAC Aviação,,,Nao,https://epeac.com.br/,"R. Emílio Antonon, 565 - Hangar AIBM - Aeroporto, Jundiaí - SP, 13212-010",educational institution,5,37,https://maps.google.com/?cid=13470688533528838226&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,101,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_jundiai_sp
Aero Agrícola Santos Dumont,(51) 3723-7000,555137237000,Nao,https://www.aviacaoagricola.com.br/,"AEROPORTO NERO MOURA, S/N - Vila Leopoldina, Cachoeira do Sul - RS, 96503-217",transportation service,5,27,https://maps.google.com/?cid=4716636864765037772&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8,5,382,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_porto_alegre_rs
DH Escola de Aviação Civil,(37) 99171-8505,5537991718505,Sim,http://www.voedh.com.br/,"Rua Ponte Nova, 57 - Aeroporto de Pará de Minas - Hangar 15 - Santos Dumont, Pará de Minas - MG, 35660-321",transportation service,5,27,https://maps.google.com/?cid=9151243947417993127&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,1053,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_uberlandia_mg
Go Air Escola de Aviação Civil,(11) 2089-6300,551120896300,Nao,http://www.goair.com.br/,"Avenida Olavo Fontoura, 1078 - Setor C, Lote 7 - Hangar Go Air - Santana, São Paulo - SP, 02012-021",educational institution,5,25,https://maps.google.com/?cid=3068140234482303313&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,1604,Escola de Aviação,aeroclube_escola_piloto_brasil
Bravo Escola de Aviação Civil,(11) 93146-3200,5511931463200,Sim,,"Hangar Anchieta - Av. Olavo Fontoura, 594 - Santana, São Paulo - SP, 02012-020",transportation service,5,16,https://maps.google.com/?cid=6102861520897991276&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,1500,Escola de Aviação,aeroclube_escola_piloto_brasil
BrasFlight Escola Brasileira de Aviação Ltda,(81) 2161-9533,558121619533,Nao,http://www.brasflight.com.br/,"AEROPORTO OSCAR LARANJEIRAS - Av. Dr Oscár Laranjeira neto, S/N - Hangar 01 - Kennedy, Caruaru - PE, 55040-075",educational institution,5,13,https://maps.google.com/?cid=6134580385369032955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,658,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_recife_pe
Airtraining Escola de Aviação Civil,(11) 4582-0891,551145820891,Nao,http://www.airtraining.com.br/,"Av. Antônio Pincinato, 2820 - Recanto Quarto Centenario, Jundiaí - SP, 13211-771",transportation service,5,7,https://maps.google.com/?cid=13931563182487795486&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,5,160,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_jundiai_sp
Vertical Escola de Aviação Civil Ltda.,(11) 98522-9242,5511985229242,Sim,,"R. Fortunato Grilenzone, 417 - Parque Jandaia, Carapicuíba - SP, 06333-230",educational institution,5,6,https://maps.google.com/?cid=3151097712440274072&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,373,Escola de Aviação,aeroclube_escola_piloto_brasil
Sky Eagles,(41) 99908-0448,5541999080448,Sim,,"Rua Emiliano Perneta, 860 - Cj. 1705 - Centro, Curitiba - PR, 80420-080",educational institution,5,6,https://maps.google.com/?cid=9198066850445102828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,5,392,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_curitiba_pr
Voe Mais Escola de Aeronáutica,(62) 3991-6612,556239916612,Nao,https://voemaisaeronautica.com.br/,"Av. Universitária, 687 - Setor Leste Universitário, Goiânia - GO, 74605-010",point of interest,5,6,https://maps.google.com/?cid=7561720150431955105&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,3,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_goiania_go
Ícaro Aviação,(31) 2514-4690,553125144690,Nao,http://www.sejapiloto.com.br/,"Rua Boaventura, 1797, loja 18 Liberdade - Aeroporto, Belo Horizonte - MG, 31270-310",transportation service,5,3,https://maps.google.com/?cid=9170090706756762472&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,220,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_belo_horizonte_mg
Starflight Escola de Aviação Civil,(31) 3491-6051,553134916051,Nao,http://www.starflightnet.com.br/,"R. Ver. Raimundo Marinho Mendonça, 207 - Santos Dumont, Pará de Minas - MG, 35660-358",transportation service,5,2,https://maps.google.com/?cid=15982907265573167507&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,5,43,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_belo_horizonte_mg
Escola Piloto de Engenharia Química,,,Nao,http://epequfpr.blogspot.com.br/,"Jardim das Américas, Curitiba - PR, 82590-300",university,5,1,https://maps.google.com/?cid=16401887561578506867&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,5,1048,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_curitiba_pr
Escola para Piloto de Avião,(16) 99430-3051,5516994303051,Sim,http://www.soupiloto.com.br/,"Av. Thomaz Alberto Whately - Parque Industrial Cel. Quito Junqueira, Ribeirão Preto - SP, 14078-560",point of interest,5,1,https://maps.google.com/?cid=16378548721355359143&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,5,792,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_ribeirao_preto_sp
Auto Escola Piloto - Torre,,,Nao,https://autoescolapiloto.net.br/,"R. José Bonifácio, 692 - Torre, Recife - PE, 50710-001",educational institution,4.9,327,https://maps.google.com/?cid=10535592766397296425&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,5,84,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_recife_pe
Aero São José dos Campos | Escola de Aviação | Ciac | Aeroclube | Comissário de Voo | Mecânico | Piloto avião Helicóptero,(12) 3341-9901,551233419901,Nao,http://www.aerosjcampos.com.br/,"R. Francisco Berling, de - Macedo, 44 - Centro, São José dos Campos - SP, 12245-670",airport,4.9,139,https://maps.google.com/?cid=9116248285133589223&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,83,Escola de Aviação,aeroclube_escola_piloto_brasil
Aeroclube de Londrina,(43) 3325-8751,554333258751,Nao,http://aeroclubedelondrina.com.br/,"Av. Santos Dumont, 1700 - Bairro Aeroporto, Londrina - PR, 86039-090",association or organization,4.9,124,https://maps.google.com/?cid=7163691329775668362&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,65,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_curitiba_pr
Sierra Bravo Escola de Aviação,(19) 99589-7279,5519995897279,Sim,http://www.sierrabravo.com.br/,"de Albuquerque Almeida - R. Cmte. César Albuquerque Almeida, Hangar 26 - Bairro da Lagoa, Americana - SP, 13479-302",transportation service,4.9,118,https://maps.google.com/?cid=8020504471290225573&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,171,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_campinas_sp
Escola Aero - Por Trás da Aviação,(35) 99717-7459,5535997177459,Sim,https://escolaaero.com.br/,"R. Guararapes, 1175 - Brooklin, São Paulo - SP, 04561-001",transportation service,4.9,41,https://maps.google.com/?cid=17022567616513899367&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8,5,160,Escola de Aviação,aeroclube_escola_piloto_brasil
BSB Aviation Escola de Aviação Civil Ltda.,(61) 99444-9926,5561994449926,Sim,,"Terminal do Aeroporto de Formosa Rua Trajano Balduíno , Sem Número(antiga Rua do Aeroporto - St. Abreu, Formosa - GO, 73801-430",transportation service,4.9,26,https://maps.google.com/?cid=14050598985888689624&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,1702,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_brasilia_df
Academia de Pilotos,(62) 99555-3456,5562995553456,Sim,,"Av. Ayrton Senna - Alphaville Araguaia, Goiânia - GO, 74884-591",go karting venue,4.9,7,https://maps.google.com/?cid=2398276598894834705&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,268,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_goiania_go
Aeroclube de Voo A Vela CTA - CVV-CTA,(12) 3944-4177,551239444177,Nao,http://www.vooavelacta.com.br/,"Estr. Putim-Tamoios, s/n - Putim, São José dos Campos - SP, 12228-845",association or organization,4.8,87,https://maps.google.com/?cid=1392060081134386667&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,4,1353,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_sao_jose_dos_campos_sp
Aeroclube do Paraná,(41) 3256-3003,554132563003,Nao,http://www.aeroclubeparana.com.br/,"Rua Cicero Jaime Bley, s/n - HANGAR 20 - Bacacheri, Curitiba - PR, 82515-180",educational institution,4.8,1557,https://maps.google.com/?cid=1194351075895107865&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,75,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_curitiba_pr
CEAB Escola de Comissário de Bordo e Aeromoça,(11) 96146-1000,5511961461000,Sim,https://ceabbrasil.com.br/,"R. Matias Aires, 402 - 3° Andar - Consolação, São Paulo - SP, 01309-020",transportation service,4.8,1540,https://maps.google.com/?cid=16994773903626176520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,63,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_campinas_sp
Aeroclube de Uberlândia,(34) 3212-4999,553432124999,Nao,http://www.aeroclubedeuberlandia.com.br/,"R. Salgado Filho, 20 - Aeroporto, Uberlândia - MG, 38406-393",association or organization,4.8,237,https://maps.google.com/?cid=2313288639018807450&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,250,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_uberlandia_mg
Aeroclube do Rio Grande do Sul,(51) 3245-6060,555132456060,Nao,http://www.args.com.br/,"Av. Juca Batista, 8101 - Belém Novo, Porto Alegre - RS, 91781-001",airport,4.8,213,https://maps.google.com/?cid=3258762264789162631&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,90,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_porto_alegre_rs
Dumont Escola de Aviação,(11) 94320-5397,5511943205397,Sim,https://www.voedumont.com.br/,"Pátio Central - R. Voluntários da Pátria, 257 - Santana, São Paulo - SP, 02011-000",educational institution,4.8,203,https://maps.google.com/?cid=10835832937856057913&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,60,Escola de Aviação,aeroclube_escola_piloto_brasil
CIAC ESAER - Escola de Aviação Civil,(31) 97117-8877,5531971178877,Sim,http://www.esaer.com.br/,"R. da Bahia, 916 - Sala 1102 - Centro, Belo Horizonte - MG, 30160-011",educational institution,4.8,200,https://maps.google.com/?cid=950704651686165080&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,70,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_belo_horizonte_mg
Aeroclube de Pernambuco,(81) 99237-8312,5581992378312,Sim,http://www.aeroclubepe.com.br/,"PE-014 km 2, 6 - Hangar B4 - SIFC - Cruz de Rebouças, Igarassu - PE, 53620-804",transportation service,4.8,105,https://maps.google.com/?cid=1386087400511865134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,191,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_recife_pe
Aeroclube de Eldorado do Sul,(51) 3806-2019,555138062019,Nao,http://www.aeroeldorado.com.br/,"Km 123 - Rod. Osvaldo Aranha - Bom Retiro, Eldorado do Sul - RS, 92990-000",transportation service,4.8,100,https://maps.google.com/?cid=1612907995690198763&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,97,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_porto_alegre_rs
Aerosul Escola de Aviação Civil,(51) 3225-7680,555132257680,Nao,http://www.aerosul-rs.com.br/,"Av. Júlio de Castilhos, 159 - 14° andar - Centro Histórico, Porto Alegre - RS, 90030-131",transportation service,4.8,86,https://maps.google.com/?cid=10285152348062986719&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,292,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_porto_alegre_rs
FLY CENTER ESCOLA DE AVIAÇÃO - CAMPINAS,(19) 2513-1299,551925131299,Nao,https://www.flycenterweb.com.br/,"R. Camargo Paes, 478 - Jardim Guanabara, Campinas - SP, 13073-350",transportation service,4.8,72,https://maps.google.com/?cid=8737741026798686828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,5,76,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_campinas_sp
VOLARE Escola de Aviação Civil,(43) 3398-4343,554333984343,Nao,http://voarvolare.com.br/,"Aeroporto 14 Bis - Rodovia Carlos João Strass, S/N - km 11 - Distrito de, Londrina - PR, 86105-000",association or organization,4.8,64,https://maps.google.com/?cid=12550735795524950725&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,742,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_londrina_pr
Escola de Aviação Civil Pampulha,(31) 3496-8958,553134968958,Nao,https://www.eacpampulha.com.br/,"Av. Pres. Antônio Carlos, 8100 - Pampulha, Belo Horizonte - MG, 31270-672",transportation service,4.8,57,https://maps.google.com/?cid=9552683545928886503&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,144,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_belo_horizonte_mg
Curso de Ciências Aeronáuticas da PUCRS,(51) 3320-3542,555133203542,Nao,https://www.pucrs.br/politecnica/curso/ciencias-aeronauticas/#apresentacao,"Av. Ipiranga, 6681 - Prédio 10 - Partenon, Porto Alegre - RS, 90619-900",university,4.8,48,https://maps.google.com/?cid=49984701185725452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,1013,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_porto_alegre_rs
Classic Escola de Aviação Civil,(11) 99620-1694,5511996201694,Sim,https://www.instagram.com/classicair/,"Condomínio aeronáutico Vale eldorado - Biriça do Valado, SP, 12.918 - Vale Eldorado, Bragança Paulista - SP, 12918-056",school,4.8,32,https://maps.google.com/?cid=17120685373619334245&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,821,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_curitiba_pr
AeroAir - Produtos Aeronáuticos,(41) 99874-6616,5541998746616,Sim,http://www.aeroair.com.br/,"R. Ver. Constante Pinto, 68 - Bacacheri, Curitiba - PR, 82510-240",toy store,4.8,31,https://maps.google.com/?cid=16528864422350057688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,245,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_curitiba_pr
PROAV - Escola de Aviação Civil,(14) 99777-8318,5514997778318,Sim,http://www.voeproav.com.br/,"Hangar 1 - Av. Alcides Cagliari, s/n - Jardim Aeroporto, Botucatu - SP, 18606-855",educational institution,4.8,28,https://maps.google.com/?cid=14988755150273237395&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,1560,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_curitiba_pr
SAFE - Escola de Aviação (Base Campinas - SP),(12) 99706-9562,5512997069562,Sim,http://www.voesafe.com.br/,"R. Sylvia da Silva Braga, 415 - Hangar 39 - Jardim Santa Monica, Campinas - SP, 13082-105",transportation service,4.8,20,https://maps.google.com/?cid=3673584790978439714&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,290,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_campinas_sp
Aeroclube São José do Rio Preto | Escola de Aviação,(17) 99628-9052,5517996289052,Sim,https://aerocluberiopreto.com/,"Av. dos Estudantes, 3505 - Vila Aeroporto, São José do Rio Preto - SP, 15035-010",educational institution,4.8,19,https://maps.google.com/?cid=7739431556602959155&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,5,648,Escola de Aviação,aeroclube_escola_piloto_brasil
Aeroclube de Campinas,(19) 3746-7200,551937467200,Nao,http://www.aeroclubedecampinas.com.br/,"R. Sylvia da Silva Braga, 415 - Jardim Santa Monica, Campinas - SP, 13082-080",association or organization,4.7,410,https://maps.google.com/?cid=11245457142417584278&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,171,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_campinas_sp
Faculdade AEROTD,(48) 3223-5191,554832235191,Nao,https://aerotd.com.br/,"R. Mal. Guilherme, 127 - Centro, Florianópolis - SC, 88015-000",university,4.7,284,https://maps.google.com/?cid=2496505566647659904&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,63,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_florianopolis_sc
Aeroclube do Amazonas,(92) 98604-7090,5592986047090,Sim,http://www.aeroclubedoamazonas.com/,"Av. Prof. Nilton Lins, 300 - Flores, Manaus - AM, 69055-010",transportation service,4.7,170,https://maps.google.com/?cid=900461842682397360&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,168,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_manaus_am
EJ Escola de Aeronáutica | Base Jundiaí,(16) 3263-9160,551632639160,Nao,http://www.ej.com.br/,"R. Emílio Antonon, 901 - Aeroporto, Jundiaí - SP, 13212-010",educational institution,4.7,133,https://maps.google.com/?cid=16268087744909623644&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,106,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_jundiai_sp
